;;;;;;;;;;;;;;;;;;;Nests Laid on Cousin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;30;53;0;136;114;131;182;209;112;102;594;590;543;376;781;349;439;541;571;583;568;495;492;551;386;266;85;360;246;;;;
SEY 0367;X 3501;;X 3501;Cousin;;1992;SEY 0367;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;HB
SEY 0438;SEY 0437;A 0252;A 0253;Curieuse;;1992;SEY 0438;25/10/1997;SEY 0437;25/10/1997;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
SEY 9700;X 3547;;X 3547;Cousin;;1992;SEY 2907;;;;SEY 9700;;;;;;;;;;;;;2;;;;;;3;;;;;;1;;;;;;;;;;;;3;3;1;HB
SEY 6197;X 3655;;X 3655;Cousin;;1992;SEY 6197;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
SEY 8762;SEY 0464;X 3731;X 3768;Cousin;;1992;SEY 8762;23/12/1997;SEY 0464;01/11/2007;;;;;;;;;;;;2;;;;;;;;2;;;;;;;;;;;;;;;;;;2;2;2;HB
X 3410;X 3411;X 3410;X 3411;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;1;HB
SEY 8691;X 3415;X 3414;X 3415;Cousin;;1992;SEY 8691;18/12/2006;;;;;;;;;;;;;;;;1;;;;;4;;;;4;;;;;;;;;;;;;;1;4;4;1;HB
X 3419;X 3422;X 3419;X 3422;Cousin;;1992;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3420;X 3429;X 3420;X 3429;Cousin;;1992;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
X 3423;X 3424;X 3423;X 3424;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;3;3;HB
X 3440;;X 3440;;Cousin;;1992;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;1;HB
X 3448;X 3449;X 3448;X 3449;Cousin;;1992;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
X 3505;X 3504;X 3505;X 3504;Cousin;;1992;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;HB
